Wykorzystany algorytm,Rozmiar plecaka,Liczba przedmiotów,Czas obliczeń [us]
Algorytm programowania dynamicznego,10100,10,41431
Algorytm siłowy,10100,11,11575
Algorytm zachłanny,10100,11,32
Algorytm programowania dynamicznego,10100,11,41144
Algorytm siłowy,10100,12,20939
Algorytm zachłanny,10100,12,18
Algorytm programowania dynamicznego,10100,12,44638
Algorytm siłowy,10100,13,41757
Algorytm zachłanny,10100,13,17
Algorytm programowania dynamicznego,10100,13,50976
Algorytm siłowy,10100,14,86500
Algorytm zachłanny,10100,14,19
Algorytm programowania dynamicznego,10100,14,54034
Algorytm siłowy,10100,15,184277
Algorytm zachłanny,10100,15,34
Algorytm programowania dynamicznego,10100,15,63288
Algorytm siłowy,10100,16,388381
Algorytm zachłanny,10100,16,34
Algorytm programowania dynamicznego,10100,16,58167
Algorytm siłowy,11100,2,39
Algorytm zachłanny,11100,2,32
Algorytm programowania dynamicznego,11100,2,7762
Algorytm siłowy,11100,3,50
Algorytm zachłanny,11100,3,15
Algorytm programowania dynamicznego,11100,3,11315
Algorytm siłowy,11100,4,40
Algorytm zachłanny,11100,4,15
Algorytm programowania dynamicznego,11100,4,14999
Algorytm siłowy,11100,5,79
Algorytm zachłanny,11100,5,24
Algorytm programowania dynamicznego,11100,5,18583
Algorytm siłowy,11100,6,164
Algorytm zachłanny,11100,6,15
Algorytm programowania dynamicznego,11100,6,25520
Algorytm siłowy,11100,7,800
Algorytm zachłanny,11100,7,15
Algorytm programowania dynamicznego,11100,7,26839
Algorytm siłowy,11100,8,953
Algorytm zachłanny,11100,8,21
Algorytm programowania dynamicznego,11100,8,29809
Algorytm siłowy,11100,9,3436
Algorytm zachłanny,11100,9,20
Algorytm programowania dynamicznego,11100,9,34159
Algorytm siłowy,11100,10,4307
Algorytm zachłanny,11100,10,17
Algorytm programowania dynamicznego,11100,10,38234
Algorytm siłowy,11100,11,9633
Algorytm zachłanny,11100,11,18
Algorytm programowania dynamicznego,11100,11,46560
Algorytm siłowy,11100,12,21740
Algorytm zachłanny,11100,12,138
Algorytm programowania dynamicznego,11100,12,52411
Algorytm siłowy,11100,13,42922
Algorytm zachłanny,11100,13,19
Algorytm programowania dynamicznego,11100,13,53424
Algorytm siłowy,11100,14,89209
Algorytm zachłanny,11100,14,19
Algorytm programowania dynamicznego,11100,14,57282
Algorytm siłowy,11100,15,197753
Algorytm zachłanny,11100,15,35
Algorytm programowania dynamicznego,11100,15,75244
Algorytm siłowy,11100,16,376974
Algorytm zachłanny,11100,16,35
Algorytm programowania dynamicznego,11100,16,62835
Algorytm siłowy,12100,2,25
Algorytm zachłanny,12100,2,25
Algorytm programowania dynamicznego,12100,2,9009
Algorytm siłowy,12100,3,44
Algorytm zachłanny,12100,3,109
Algorytm programowania dynamicznego,12100,3,15994
Algorytm siłowy,12100,4,252
Algorytm zachłanny,12100,4,168
Algorytm programowania dynamicznego,12100,4,19130
Algorytm siłowy,12100,5,345
Algorytm zachłanny,12100,5,113
Algorytm programowania dynamicznego,12100,5,22072
Algorytm siłowy,12100,6,540
Algorytm zachłanny,12100,6,16
Algorytm programowania dynamicznego,12100,6,25713
Algorytm siłowy,12100,7,723
Algorytm zachłanny,12100,7,18
Algorytm programowania dynamicznego,12100,7,31704
Algorytm siłowy,12100,8,1953
Algorytm zachłanny,12100,8,17
Algorytm programowania dynamicznego,12100,8,36867
Algorytm siłowy,12100,9,3009
Algorytm zachłanny,12100,9,87
Algorytm programowania dynamicznego,12100,9,40237
Algorytm siłowy,12100,10,4433
Algorytm zachłanny,12100,10,23
Algorytm programowania dynamicznego,12100,10,44789
Algorytm siłowy,12100,11,10544
Algorytm zachłanny,12100,11,29
Algorytm programowania dynamicznego,12100,11,74466
Algorytm siłowy,12100,12,19230
Algorytm zachłanny,12100,12,20
Algorytm programowania dynamicznego,12100,12,52471
Algorytm siłowy,12100,13,41159
Algorytm zachłanny,12100,13,34
Algorytm programowania dynamicznego,12100,13,56401
Algorytm siłowy,12100,14,87407
Algorytm zachłanny,12100,14,20
Algorytm programowania dynamicznego,12100,14,61978
Algorytm siłowy,12100,15,181638
Algorytm zachłanny,12100,15,35
Algorytm programowania dynamicznego,12100,15,67072
Algorytm siłowy,12100,16,377593
Algorytm zachłanny,12100,16,37
Algorytm programowania dynamicznego,12100,16,65904
